domain,subcategory,tag,is_new
Capital Equipment & Imaging,Radiation / Oncology Capital,Brachytherapy equipment,true
Capital Equipment & Imaging,Radiation / Oncology Capital,Treatment planning software,true
Capital Equipment & Imaging,Lab / Pharmacy Capital,Lab analyzers,false
Capital Equipment & Imaging,Lab / Pharmacy Capital,Lab automation lines,false
Capital Equipment & Imaging,Lab / Pharmacy Capital,Pharmacy robots,false
Capital Equipment & Imaging,Lab / Pharmacy Capital,Packaging systems,false
Capital Equipment & Imaging,Lab / Pharmacy Capital,IV compounding equipment,false
Capital Equipment & Imaging,Lab / Pharmacy Capital,Centrifuges,true
Capital Equipment & Imaging,Lab / Pharmacy Capital,Cryostorage systems,true
Capital Equipment & Imaging,Lab / Pharmacy Capital,Blood bank refrigerators,true
Diagnostics & Laboratory,Core Lab,Clinical chemistry,false
Diagnostics & Laboratory,Core Lab,Hematology,false
Diagnostics & Laboratory,Core Lab,Coagulation,false
Diagnostics & Laboratory,Core Lab,Immunoassay,false
Diagnostics & Laboratory,Core Lab,Urinalysis,true
Diagnostics & Laboratory,Core Lab,Mass spectrometry,true
Diagnostics & Laboratory,Core Lab,Flow cytometry,true
Diagnostics & Laboratory,Core Lab,Protein analysis,true
Diagnostics & Laboratory,Pathology / Histology,Anatomic pathology,false
Diagnostics & Laboratory,Pathology / Histology,Digital pathology,false
Diagnostics & Laboratory,Pathology / Histology,Histology equipment,false
Diagnostics & Laboratory,Pathology / Histology,Slide management,false
Diagnostics & Laboratory,Pathology / Histology,Tissue processors,true
Diagnostics & Laboratory,Pathology / Histology,Immunohistochemistry,true
Diagnostics & Laboratory,Pathology / Histology,Cytology,true
Diagnostics & Laboratory,Pathology / Histology,AI pathology analytics,true
Diagnostics & Laboratory,Microbiology / Infectious Disease,Culture systems,false
Diagnostics & Laboratory,Microbiology / Infectious Disease,Rapid ID,false
Diagnostics & Laboratory,Microbiology / Infectious Disease,Susceptibility testing,false
Diagnostics & Laboratory,Microbiology / Infectious Disease,Infection diagnostics,false
Diagnostics & Laboratory,Microbiology / Infectious Disease,Blood culture systems,true
Diagnostics & Laboratory,Microbiology / Infectious Disease,Antimicrobial stewardship tools,true
Diagnostics & Laboratory,Microbiology / Infectious Disease,MALDI-TOF ID,true
Diagnostics & Laboratory,Microbiology / Infectious Disease,Respiratory pathogen panels,true
Diagnostics & Laboratory,Molecular / Genomics,PCR,false
Diagnostics & Laboratory,Molecular / Genomics,NGS,false
Diagnostics & Laboratory,Molecular / Genomics,Precision diagnostics,false
Diagnostics & Laboratory,Molecular / Genomics,Molecular oncology,false
Diagnostics & Laboratory,Molecular / Genomics,Liquid biopsy,true
Diagnostics & Laboratory,Molecular / Genomics,Companion diagnostics,true
Diagnostics & Laboratory,Molecular / Genomics,Pharmacogenomics,true
Diagnostics & Laboratory,Molecular / Genomics,Genetic counseling platforms,true
Diagnostics & Laboratory,Molecular / Genomics,Prenatal genetic testing,true
Diagnostics & Laboratory,Blood Bank / Transfusion,Blood management,false
Diagnostics & Laboratory,Blood Bank / Transfusion,Crossmatch,false
Diagnostics & Laboratory,Blood Bank / Transfusion,Blood tracking,false
Diagnostics & Laboratory,Blood Bank / Transfusion,Pathogen reduction,true
Diagnostics & Laboratory,Blood Bank / Transfusion,Donor management systems,true
Diagnostics & Laboratory,Blood Bank / Transfusion,Cell therapy processing,true
Diagnostics & Laboratory,Point-of-Care Testing,Bedside diagnostics,false
Diagnostics & Laboratory,Point-of-Care Testing,Rapid tests,false
Diagnostics & Laboratory,Point-of-Care Testing,Glucose / coag / cardiac markers,false
Diagnostics & Laboratory,Point-of-Care Testing,Blood gas analyzers,true
Diagnostics & Laboratory,Point-of-Care Testing,Lactate testing,true
Diagnostics & Laboratory,Point-of-Care Testing,POC connectivity / data management,true
Diagnostics & Laboratory,Point-of-Care Testing,A1c testing,true
Diagnostics & Laboratory,Lab Operations,Specimen collection,false
Diagnostics & Laboratory,Lab Operations,Transport,false
Diagnostics & Laboratory,Lab Operations,Accessioning,false
Diagnostics & Laboratory,Lab Operations,Lab automation,false
Diagnostics & Laboratory,Lab Operations,Reference lab services,false
Diagnostics & Laboratory,Lab Operations,Lab information systems,true
Diagnostics & Laboratory,Lab Operations,Pneumatic tube systems,true
Diagnostics & Laboratory,Lab Operations,Pre-analytical automation,true
Diagnostics & Laboratory,Lab Operations,Quality management systems,true
Pharmacy & Medication Management,Pharmacy Automation,Automated dispensing cabinets,false
Pharmacy & Medication Management,Pharmacy Automation,Central pharmacy automation,false
Pharmacy & Medication Management,Pharmacy Automation,Packaging / repackaging,false
Pharmacy & Medication Management,Pharmacy Automation,Carousel systems,false
Pharmacy & Medication Management,Pharmacy Automation,Robotics,false
Pharmacy & Medication Management,Pharmacy Automation,Counting technology,false
Pharmacy & Medication Management,Pharmacy Automation,Unit-dose packaging,true
Pharmacy & Medication Management,Pharmacy Automation,Narcotic vaults,true
Pharmacy & Medication Management,Pharmacy Automation,Bedside medication verification,true
Pharmacy & Medication Management,Pharmacy Automation,Anesthesia workstation dispensing,true
Pharmacy & Medication Management,IV Workflow / Compounding,IV workflow software,false
Pharmacy & Medication Management,IV Workflow / Compounding,Cleanroom technology,false
Pharmacy & Medication Management,IV Workflow / Compounding,Compounding hardware,false
Pharmacy & Medication Management,IV Workflow / Compounding,Hazardous drug containment,false
Pharmacy & Medication Management,IV Workflow / Compounding,Gravimetric verification,true
Pharmacy & Medication Management,IV Workflow / Compounding,Closed-system transfer devices,true
Pharmacy & Medication Management,IV Workflow / Compounding,503B outsourcing services,true
Pharmacy & Medication Management,Specialty Pharmacy,Specialty pharmacy services,false
Pharmacy & Medication Management,Specialty Pharmacy,Oncology pharmacy,false
Pharmacy & Medication Management,Specialty Pharmacy,Rare disease,false
Pharmacy & Medication Management,Specialty Pharmacy,Patient support hubs,false
Pharmacy & Medication Management,Specialty Pharmacy,Specialty pharmacy accreditation,true
Pharmacy & Medication Management,Specialty Pharmacy,White bagging services,true
Pharmacy & Medication Management,Specialty Pharmacy,Hub services / patient access,true
Pharmacy & Medication Management,Specialty Pharmacy,Limited distribution drugs,true
Pharmacy & Medication Management,Specialty Pharmacy,Biologics management,true
Pharmacy & Medication Management,Infusion,Home infusion,false
Pharmacy & Medication Management,Infusion,Infusion services,false
Pharmacy & Medication Management,Infusion,Infusion pumps,false
Pharmacy & Medication Management,Infusion,Infusion workflow,false
Pharmacy & Medication Management,Infusion,Ambulatory infusion pumps,true
Pharmacy & Medication Management,Infusion,Smart pump analytics,true
Pharmacy & Medication Management,Infusion,Drug library management,true
Pharmacy & Medication Management,Infusion,Infusion center management,true
Pharmacy & Medication Management,Medication Management Software,Pharmacy information systems,false
Pharmacy & Medication Management,Medication Management Software,E-prescribing,false
Pharmacy & Medication Management,Medication Management Software,Medication reconciliation,false
Pharmacy & Medication Management,Medication Management Software,Clinical surveillance,false
Pharmacy & Medication Management,Medication Management Software,Diversion monitoring,false
Pharmacy & Medication Management,Medication Management Software,BCMA systems,true
Pharmacy & Medication Management,Medication Management Software,Drug interaction checking,true
Pharmacy & Medication Management,Medication Management Software,Antimicrobial stewardship software,true
Pharmacy & Medication Management,Medication Management Software,Opioid management platforms,true
Pharmacy & Medication Management,Pharmacy Supply Chain / Procurement,Drug sourcing,false
Pharmacy & Medication Management,Pharmacy Supply Chain / Procurement,Drug shortage tools,false
Pharmacy & Medication Management,Pharmacy Supply Chain / Procurement,340B,false
Pharmacy & Medication Management,Pharmacy Supply Chain / Procurement,Cold chain,false
Pharmacy & Medication Management,Pharmacy Supply Chain / Procurement,Wholesaler / distributor pharmacy support,false
Pharmacy & Medication Management,Pharmacy Supply Chain / Procurement,340B split billing,true
Pharmacy & Medication Management,Pharmacy Supply Chain / Procurement,Drug traceability / DSCSA,true
Pharmacy & Medication Management,Pharmacy Supply Chain / Procurement,GPO pharmacy contracts,true
Pharmacy & Medication Management,Retail / Outpatient / Ambulatory Pharmacy,Outpatient pharmacy,false
Pharmacy & Medication Management,Retail / Outpatient / Ambulatory Pharmacy,Retail pharmacy systems,false
Pharmacy & Medication Management,Retail / Outpatient / Ambulatory Pharmacy,Adherence tech,false
Pharmacy & Medication Management,Retail / Outpatient / Ambulatory Pharmacy,Patient communication,false
Pharmacy & Medication Management,Retail / Outpatient / Ambulatory Pharmacy,Prescription delivery services,true
Pharmacy & Medication Management,Retail / Outpatient / Ambulatory Pharmacy,Telepharmacy,true
Pharmacy & Medication Management,Retail / Outpatient / Ambulatory Pharmacy,MTM platforms,true
Pharmacy & Medication Management,Retail / Outpatient / Ambulatory Pharmacy,Immunization management,true
Digital Health / Health IT / AI,Core Clinical IT,EHR / EMR,false
Digital Health / Health IT / AI,Core Clinical IT,Clinical documentation,false
Digital Health / Health IT / AI,Core Clinical IT,CPOE,false
Digital Health / Health IT / AI,Core Clinical IT,Care coordination,false
Digital Health / Health IT / AI,Core Clinical IT,Ambient clinical documentation,true
Digital Health / Health IT / AI,Core Clinical IT,Clinical messaging / secure chat,true
Digital Health / Health IT / AI,Core Clinical IT,Clinical pathways,true
Digital Health / Health IT / AI,Core Clinical IT,Nursing documentation,true
Digital Health / Health IT / AI,Core Clinical IT,EHR optimization / training,true
Digital Health / Health IT / AI,Revenue Cycle,Coding,false
Digital Health / Health IT / AI,Revenue Cycle,CDI,false
Digital Health / Health IT / AI,Revenue Cycle,Claims,false
Digital Health / Health IT / AI,Revenue Cycle,Denials,false
Digital Health / Health IT / AI,Revenue Cycle,Patient access,false
Digital Health / Health IT / AI,Revenue Cycle,Billing,false
Digital Health / Health IT / AI,Revenue Cycle,Price transparency,false
Digital Health / Health IT / AI,Revenue Cycle,Prior authorization automation,true
Digital Health / Health IT / AI,Revenue Cycle,Charge capture,true
Digital Health / Health IT / AI,Revenue Cycle,AI-powered coding,true
Digital Health / Health IT / AI,Revenue Cycle,Underpayment recovery,true
Digital Health / Health IT / AI,Revenue Cycle,Patient estimation tools,true
Digital Health / Health IT / AI,Revenue Cycle,RCM outsourcing platforms,true
Digital Health / Health IT / AI,Supply Chain Software,ERP,false
Digital Health / Health IT / AI,Supply Chain Software,Procurement platforms,false
Digital Health / Health IT / AI,Supply Chain Software,Inventory management,false
Digital Health / Health IT / AI,Supply Chain Software,Contract management,false
Digital Health / Health IT / AI,Supply Chain Software,Item master,false
Digital Health / Health IT / AI,Supply Chain Software,Spend analytics,false
Digital Health / Health IT / AI,Supply Chain Software,Preference card management,true
Digital Health / Health IT / AI,Supply Chain Software,Requisition / PO automation,true
Digital Health / Health IT / AI,Supply Chain Software,Vendor-managed inventory,true
Digital Health / Health IT / AI,Supply Chain Software,Demand forecasting,true
Digital Health / Health IT / AI,Pharmacy IT,Pharmacy management systems,false
Digital Health / Health IT / AI,Pharmacy IT,Dose tracking,false
Digital Health / Health IT / AI,Pharmacy IT,Medication analytics,false
Digital Health / Health IT / AI,Pharmacy IT,Diversion analytics,false
Digital Health / Health IT / AI,Pharmacy IT,Clinical pharmacology databases,true
Digital Health / Health IT / AI,Pharmacy IT,Drug cost analytics,true
Digital Health / Health IT / AI,AI / Analytics / Decision Support,Ambient AI,false
Digital Health / Health IT / AI,AI / Analytics / Decision Support,Workflow AI,false
Digital Health / Health IT / AI,AI / Analytics / Decision Support,Predictive analytics,false
Digital Health / Health IT / AI,AI / Analytics / Decision Support,BI dashboards,false
Digital Health / Health IT / AI,AI / Analytics / Decision Support,Clinical decision support,false
Digital Health / Health IT / AI,AI / Analytics / Decision Support,NLP,false
Digital Health / Health IT / AI,AI / Analytics / Decision Support,Sepsis prediction,true
Digital Health / Health IT / AI,AI / Analytics / Decision Support,Patient deterioration alerts,true
Digital Health / Health IT / AI,AI / Analytics / Decision Support,Readmission risk models,true
Digital Health / Health IT / AI,AI / Analytics / Decision Support,Population health analytics,true
Digital Health / Health IT / AI,AI / Analytics / Decision Support,Computer vision / medical imaging AI,true
Digital Health / Health IT / AI,AI / Analytics / Decision Support,Generative AI platforms,true
Digital Health / Health IT / AI,AI / Analytics / Decision Support,Social determinants analytics,true
Digital Health / Health IT / AI,Patient Engagement,CRM,false
Digital Health / Health IT / AI,Patient Engagement,Outreach,false
Digital Health / Health IT / AI,Patient Engagement,Scheduling,false
Digital Health / Health IT / AI,Patient Engagement,Texting,false
Digital Health / Health IT / AI,Patient Engagement,Portals,false
Digital Health / Health IT / AI,Patient Engagement,Surveys,false
Digital Health / Health IT / AI,Patient Engagement,Digital front door,false
Digital Health / Health IT / AI,Patient Engagement,Online reputation management,true
Digital Health / Health IT / AI,Patient Engagement,Digital check-in / intake,true
Digital Health / Health IT / AI,Patient Engagement,Chatbots / virtual assistants,true
Digital Health / Health IT / AI,Patient Engagement,Patient education platforms,true
Digital Health / Health IT / AI,Patient Engagement,Referral management,true
Digital Health / Health IT / AI,Telehealth / Virtual Care / Remote Monitoring,Telemedicine,false
Digital Health / Health IT / AI,Telehealth / Virtual Care / Remote Monitoring,RPM,false
Digital Health / Health IT / AI,Telehealth / Virtual Care / Remote Monitoring,Hospital-at-home,false
Digital Health / Health IT / AI,Telehealth / Virtual Care / Remote Monitoring,Virtual nursing,false
Digital Health / Health IT / AI,Telehealth / Virtual Care / Remote Monitoring,Remote cardiac monitoring,true
Digital Health / Health IT / AI,Telehealth / Virtual Care / Remote Monitoring,Chronic disease management,true
Digital Health / Health IT / AI,Telehealth / Virtual Care / Remote Monitoring,Connected devices / wearables,true
